Actual Product Weight,Linear Regression,Decision Tree,Random Forest,SVR,XGBoost,Neural Network
5076,5404.93049,5106,5399.04,21192.36904,5135.3784,5967.001466
29058,28378.53387,31118,30589.32,22493.06108,30037.447,29506.92023
22062,22861.0031,22131,22114.06,21951.30425,22064.854,21699.12603
19109,18423.94614,19071,19066.52,21733.07318,19257.973,19104.00119
14086,13582.98841,14135,14023.86,21755.22431,14114.248,14312.30692
8062,8717.849821,8112,8273.46,21413.03272,8353.32,7628.887101
40101,38102.69428,40107,39863.85,22339.18752,39658.402,38810.27086
21135,24422.10386,21077,21953.14,22081.45176,22365.02,23153.92153
30139,32900.602,30142,30796.12,22680.08106,31073.807,31911.00685
32119,34327.51578,32125,32650.24,22604.00391,32790.58,33214.89976
34071,34602.61123,36121,35664.36,22773.98405,35590.008,35444.16907
26105,25626.49655,25113,26296.19,22376.51873,26139.393,26623.42468
28079,28755.50221,27136,28859.33,22168.2113,28302.994,28459.86403
6063,6036.696175,5139,5935.25,21777.06185,5798.0674,6126.260446
30116,30348.47739,31105,31276.19,22589.56366,31065.377,30512.14185
26100,27960.84139,27071,26577.52,22019.57886,26599.86,26425.26545
30067,29407.74208,31102,30571.27,22208.22484,30376.16,28875.24158
29060,30506.67191,29124,28647.84,22533.6204,29132.688,29855.94035
26147,26050.78024,26092,25509.82,22489.21264,25036.36,24949.7558
23141,25184.34313,24095,23958.11,22332.77994,23462.986,24267.73825
35150,35014.71041,35123,34703,22132.26202,35779.88,35152.23111
17135,15811.89521,16106,16081.24,22030.77613,16199.677,16178.05465
52058,47875.3712,52064,51989.88,22786.73533,51778.508,50457.11703
7090,6565.280935,7148,6661.56,21746.69333,6614.972,6883.183106
31059,34356.07072,34087,33840.41,22520.61019,33140.75,33237.86265
21109,20909.25716,22126,22212.34,22108.47239,21415.98,21712.74667
50055,48932.37092,53058,52631.55,22445.07592,52677.016,51028.5256
5067,6362.716778,5119,5002.33,21379.9856,5068.2954,4713.877797
10119,11735.4898,10095,10771.53,21470.82467,10854.524,10016.87548
38100,36059.51038,38084,37944.26,22689.8646,38088.773,37165.68355
19124,19827.24107,17150,18465.63,21902.30268,18228.479,18238.47602
34060,35759.97946,35124,34818.21,22402.53022,35096.73,35388.94803
31113,31453.98329,31096,31973.56,22286.60942,32134.201,32510.1005
27124,24832.64469,25094,25982.32,22290.00189,26098.438,25961.59622
11124,12770.97994,13137,12241.75,21678.33787,12331.105,12520.52304
22142,22920.5669,22057,21222.83,22148.4667,22044.174,21625.86145
7091,6721.898017,6067,6051.09,21332.75377,5961.8867,5453.176015
29112,28427.62241,26067,27048.85,22450.43279,27730.293,27476.38214
22085,20851.13945,22067,22200.89,22050.85539,21316.04,22323.81432
17094,18536.91319,17092,17436.44,21726.8816,16966.38,17277.06391
44083,39874.25148,42106,42781.44,22802.22005,43128.113,41623.05569
20088,19320.85674,19141,19487.47,21918.97678,19549.81,18977.06014
22097,23037.50029,23095,21678.63,22062.77887,21444.363,21628.35133
22113,24049.61268,23129,22753.04,22243.26624,22878.197,22665.49857
43068,41525.83993,43138,43112.84,22571.7921,42746.21,42695.02223
17094,16924.97045,16063,16549.21,21988.78572,17602.908,17399.80975
17136,16182.0254,16133,16149.68,21739.0748,15711.614,16180.83997
20132,21275.25149,20138,20080.66,21820.98876,19967.252,19398.28846
49097,45844.80346,46107,48082.92,22213.19583,48091.617,46186.98965
22070,22454.95229,22125,23503.09,22315.3666,23233.56,22887.12168
18123,19296.95549,18125,20091,22132.96037,20353.43,19067.18794
23143,26927.97709,24074,24480.88,22219.01186,24862.951,25792.60501
6148,7880.932794,7105,6689.71,21683.71273,6880.655,8088.329854
19082,18328.25624,18122,19039.37,21936.77922,18727.902,19073.67016
40060,40615.48397,38056,38718.59,22830.94211,39440.527,40228.48723
23077,23857.67987,23080,23329.75,22138.11214,23012.38,23738.14757
23084,24132.97218,24151,23714.17,22235.85348,23696.096,25045.48358
7140,6790.376723,7126,7589.8,21684.16315,7735.1006,8276.549929
29081,25845.24502,28151,28359.98,22369.72344,27960.607,27042.05654
34067,35885.47137,35067,35006.37,22569.71243,34817.855,34890.81697
17055,14905.31252,17105,16757.06,21842.11661,16476.58,16704.11009
12150,10907.3414,11129,11707.83,21962.63606,11773.138,12291.32984
35117,35365.29132,33137,33746.97,22407.15234,33843.645,34890.07287
35092,35053.39818,35143,35224.83,22311.72644,35512.15,34887.97798
33060,32607.33699,32062,32515.23,22474.77781,32507.402,32357.31946
6083,1516.91989,8123,8007.2125,21765.10676,7394.808,4180.698011
34073,30884.09904,31149,31615.91,22134.81109,31493.215,32812.57258
23138,23106.18069,22124,22394.37,22048.00797,22605.77,22393.23168
29061,30258.96571,28114,28438.57,22308.31524,28078.707,28956.21274
30147,28550.69756,30071,30407.17,22045.22554,29780.512,28577.73437
12085,10735.61542,11123,11988.77,22012.94174,12197.767,12367.74131
5055,6233.749657,5074,5430.93,21516.53971,5342.578,5993.854865
26125,26711.74371,26120,26471.88,22378.49891,26752.066,26591.61634
8122,8118.018095,8102,7758.87,21334.83898,7863.2773,7444.01246
27140,25467.61406,26125,26443.17,22126.53911,25910.092,25160.79467
31105,32103.68375,29085,30241.29,22493.29834,29750.43,30384.81428
41133,41910.8015,40137,40682.21,22662.45909,40868.582,41150.75478
5078,1222.85046,3055,5121.118,21421.48871,2924.9507,5476.554074
7088,6395.10735,7106,6541.86,21754.75888,6575.0864,7323.442443
34059,35069.75485,33084,35228.82,22641.20613,35795.59,35746.37666
32119,31462.15857,31135,31525.41,22315.03331,32055.527,32185.53188
23110,21344.92782,23079,23040.34,22044.90164,22734.45,21971.88752
36056,37325.06031,36082,36122.78,22940.0221,35765.496,36621.44804
6132,7615.141922,6056,5732.77,21544.92288,5778.1763,7640.020054
21075,22509.44106,21121,21518.91,21862.15651,21625.557,20956.5261
9136,8950.371603,7112,7917.27,21542.75956,8431.193,8798.909995
18056,17881.70667,17140,17485.66,21881.56965,17377.242,17185.0469
19121,18390.303,19056,18904.8,21859.68432,18365.22,17448.36737
46072,43506.75922,47073,45663.46,22676.06034,44903.715,44506.89716
6072,6771.257538,6096,5610.99,21216.28801,6170.223,5579.867364
50140,45994.5016,50138,49813.57,22343.80046,49830.934,47950.70435
22126,20316.17674,22093,21442.31,21927.88559,21328.957,20761.02634
18064,16972.51569,19115,18095.61,22062.8514,17314.182,16295.21961
15099,15585.89922,16100,16237.13,22088.34832,16116.966,15957.25897
30069,28994.17021,31133,30566.85,22429.33156,30412.04,30216.5821
43114,40679.60572,43072,42388.08,22653.94198,42829.953,42526.99693
47150,44877.87791,48127,47798.16,22916.66187,47522.97,46184.87366
38117,35955.92812,35119,36424.23,22341.57219,37004.69,35722.61113
22076,22870.83008,21094,21375.67,22072.58734,21783.363,21690.73761
38114,35241.93521,39084,37942.32,22629.1966,38155.31,35980.54582
17143,18178.25396,17095,17400.56,21962.14264,17603.9,17559.61079
14099,13890.61965,14077,14144.49,21390.12323,14054.851,13887.05414
20124,21904.04277,20100,20824.93,22076.36276,21242.717,20196.91083
6109,6810.537652,6056,5845.72,21852.69274,5550.212,8437.35564
41137,38603.06477,39078,39867.39,22812.39988,40161.62,39398.02233
25113,25720.54927,24148,24880.91,22371.30989,24655.36,25903.84522
8136,8006.263468,7080,8109.042,21402.78732,8078.194,8999.461609
29061,29987.60218,28099,28395.28,22380.50699,28852.572,29256.238
39071,41563.33674,41077,40731.25,22474.71415,40353.574,41730.48521
4124,968.750669,5074,4437.835333,21267.31148,3965.1255,4915.408119
9095,9693.080113,9146,9119.36,21558.05511,9189.778,9273.487078
41083,37373.87643,41145,40578.03,22700.2165,40079.05,38931.95124
16070,15031.16474,15069,15224.1,21771.58509,15608.413,15872.30851
4071,5973.638896,5056,5040.958,21087.70392,4828.2217,6172.560139
28135,29806.42222,28079,28371.065,22306.81918,27845.127,27983.20988
32081,32477.34832,32078,32118.91,22345.25935,32075.184,32974.2495
23124,22436.86106,24064,23757.32,22341.8415,23319.434,22507.73282
54106,49245.43812,53057,53068.85,23157.77026,52538.383,51381.84518
19111,18776.40522,19119,19677.89,21960.77238,20160.135,19485.27752
8146,998.3306687,14103,10639.93,21611.26375,8626.19,6773.209588
52117,49415.38073,52077,52104.48,22983.87543,52410.28,51975.50838
17123,16820.53417,18066,17463.82,21722.92511,17269.512,17099.03791
8062,8488.497998,8069,8398.29,21746.64226,8379.182,7976.107434
18104,19275.86067,18113,18804.35,21902.46803,19448.979,19752.97966
23113,22372.64814,23146,22981.77,22180.7673,23396.113,23362.66304
31147,28324.19281,28076,29385.52,22240.80866,29570.531,29189.26824
40137,38958.50725,39073,39859.03,22676.10055,39735.227,39349.58479
22149,21668.54134,20146,21517.66,21893.69318,22543.572,21992.96635
20081,19879.499,20125,20249.66,21945.3103,20308.092,20385.09453
24143,24797.402,24099,24886.55,22279.93558,24926.377,24778.66685
13103,13474.84482,13077,12919.3,21788.54708,12905.432,12441.40005
25100,25740.88672,25116,25866.43,22309.39173,26065.584,26199.37418
16108,14762.27223,16139,15758.13,21818.63884,15311.849,14714.09998
12094,13030.28379,14061,13595.17,21861.51223,13527.56,12594.26444
31083,32190.31586,34130,32447.481,22267.20432,32246.67,32771.56034
20066,18317.03778,19127,19364.57,22110.54438,18918.953,18808.91746
17107,16933.12284,16086,16431.87,21937.14335,16136.118,15477.98645
32119,33210.44781,32144,32281.34,22223.62918,32570.676,32697.75735
37065,38285.44128,35134,36035.22,22149.57417,37225.46,38055.22373
32103,30352.59098,31151,31472.02,22336.08936,31616.812,30517.46291
6070,5643.485987,5144,5390.23,21456.14566,5361.7524,5751.613068
23075,24867.80586,23109,23258.02,21901.82119,23166.355,23293.95863
14089,14146.32174,13061,12992.62,21439.32759,12831.977,12748.35326
19086,21103.5057,19065,19251.04,21972.6587,19539,19342.25464
29077,28379.17159,29109,29348.42,22210.96498,29305.965,28898.37007
26122,28206.18302,26147,26384.54,22239.12242,26340.656,26631.21441
24090,21996.26047,21055,22139.73,22215.56241,22579.336,22256.70449
39124,35393.43252,37065,38268.89,22366.31455,38538.63,38058.43989
18131,17869.84598,18140,17961.73,22007.46621,17416.758,16625.56823
28100,30873.89344,30147,28456.77,22378.57155,28250.484,29530.61819
40130,36433.85927,37065,38172.08,22504.80741,38706.695,37429.28635
27140,27826.74454,30079,29215.01,22250.25972,28963.195,28613.30863
5146,5405.280176,5073,5055.4,21621.47265,4930.2627,4484.354046
35085,36061.14919,35115,35006.69,22542.28002,34665.94,34503.17638
29143,31363.04897,29073,29756.41,22636.68076,29339.824,30538.10776
41097,39345.82444,42128,41789.67,22316.11821,41178.04,40095.02102
31086,33833.28618,33075,32082.29,22652.89827,31945.441,32679.54891
18145,16976.77823,17082,17777.77,21833.25059,17865.695,17832.33931
14075,14264.53668,13136,13212.1,21604.33692,13192.649,13117.9844
31064,33933.99913,34079,32363.34,22564.27043,32759.988,32991.7154
44091,44474.22099,44081,43719.51,22224.94053,43481.695,43969.70017
22110,23778.44141,23079,23908.74,22042.92811,23790.855,22920.45691
6134,6924.542088,5112,5669.53,21791.42818,6047.362,6131.689324
30087,28703.1004,28105,29536.59,22086.22742,29252.703,28736.75161
5143,1425.451346,7086,7549.77,21106.66837,7181.7324,4555.590104
36094,38108.82227,37102,36850.29,22769.7908,36650.58,37628.48309
37079,37426.98906,37149,36694.92,22747.91033,37014.457,37566.70258
18120,18128.33144,18118,18264.51,21957.00318,18529.113,18032.41766
38107,37334.24731,37075,38733.03,22754.92739,39215.215,38054.12788
30127,30113.20425,33107,31554.922,22259.53746,30778.303,30544.04997
36095,34377.74611,35093,35302.33,22350.066,35000.895,34647.39148
18065,18320.22858,18112,17109.74,21716.02484,17502.518,17278.46532
11067,1186.229757,14090,7763.47,21235.94279,8263.221,5439.269174
19074,20017.62534,18120,18979.02,21997.04604,19102.879,18932.20015
39081,38093.61722,40129,40016.26,22592.38912,40237.016,38997.16376
14114,16304.2652,15099,14632.13,21672.45136,14433.925,14417.3067
32140,31176.53707,31093,31508.41,22199.32399,31948.219,32335.29636
32070,30082.13606,33139,31442.43,22502.38659,31260.643,31170.79757
25088,25003.35136,24130,24843.07,22012.84798,24636.219,24104.58453
24070,24017.53778,26080,25707.04,22283.10942,24597.314,25497.91731
20142,20229.2339,20144,20818.68,21735.05693,20772.736,20503.12456
43056,41567.30191,43079,42864.28,22856.60647,42487.773,42570.13329
15121,16635.83262,16084,15328.39867,21532.32199,15433.226,15161.19057
4079,932.4392742,4139,3946.225,21074.3345,3488.1797,4894.299073
18114,18855.99109,18073,18640.07,22034.14144,18685.28,18362.02535
5106,5791.020651,5074,4871.2,21417.92948,4947.75,5156.027971
6133,6715.374486,6151,6593.27,21269.09197,6553.757,7351.387111
37121,35887.30532,39068,37450.53,22790.44533,37412.242,36857.25078
3055,1436.736986,5081,4369.23,21258.81418,4393.185,3949.128854
13125,13019.62024,15087,13950.52,21932.80679,14177.9,14383.28949
31070,29629.78365,28120,30102.33,22543.04425,30256.69,30209.77607
21078,20846.11572,21137,20560.83,21817.00854,20514.855,20378.80601
23134,22069.21967,23140,22683.09,22240.15019,22552.432,22120.80821
28112,30583.55709,29120,28594.62,22643.87093,28528.629,29016.67896
8121,8765.143491,8144,7858.77,21786.64508,8096.7744,8707.428616
5103,5622.556081,5076,5325.01,21303.84004,5243.002,5542.46634
21071,22029.40065,21103,21663.44,22250.14147,21130.162,21162.7629
8118,10402.59098,10063,9334.78,21706.74944,8845.809,8736.746475
12109,11645.9092,11150,11685.87,21931.11782,11886.885,12112.02294
25120,25452.76583,25120,25810.68,22239.48667,25651.291,26661.7064
5087,6350.410538,5141,5343.352,21428.89139,5222.769,5631.953302
38059,38101.20574,37081,36846.07,22849.00155,36785.137,37196.72274
13056,13989.05001,13122,13087.96,21682.32029,13155.228,12600.94996
20058,22201.19493,21094,22069.62,22038.10139,22350.762,21784.56472
16110,16267.7109,17090,17141.56,22052.58656,17142.64,16475.28291
30149,27543.8224,29079,29606.94,22331.10495,28978.19,28546.90623
14076,14093.37249,13108,13208.1,21925.86582,13365.046,13631.91578
23083,23399.51932,25094,23754.42,22196.11315,23509.904,23889.82106
7147,7481.897946,7083,6845.106667,21371.91239,6723.843,6518.677154
39132,35316.23795,38090,37570.09,22301.89485,37373.023,35927.39235
23121,21221.6489,21112,21917.27,22273.16351,22308.266,21558.93383
39056,38525.6417,39144,39488.01,22744.16481,39280.523,39326.23816
22084,22503.62757,21136,21106.32,22226.51896,21134.908,21136.9903
43131,42114.49339,44111,43698.39,22739.57193,43448.95,43638.85251
31085,33093.77573,29124,30578.12,22152.50375,30447.979,31215.91284
18060,17127.36112,19128,18414.52,22011.7801,17249.334,16274.53012
6059,973.6363517,12074,10562.56,21398.73918,10485.819,7016.267097
19116,19800.80508,19079,18892.99,21761.68725,18683.887,18340.05884
25097,26671.14673,25091,25310.6,22260.05232,25668.62,25571.22963
13117,13571.65831,13080,12458.54,21442.65872,12732.186,12530.12568
6151,1160.077514,3137,4272.56,21063.95423,4885.139,3627.496332
28080,26842.09511,28146,28231.7,22334.62666,28474.18,28054.09966
25140,27429.38014,29058,27651.75,22228.77465,27091.984,28080.22851
7128,8777.397822,9070,8303.98,21707.87413,8218.383,8395.546797
6108,6751.651586,6147,5975.56,21339.15434,5872.2505,5641.620558
7119,8577.302568,8089,8047.39,21346.70562,8043.311,7790.688942
25110,24371.67701,27114,25939.46,21961.49546,25375.877,24904.68753
34107,32358.24157,33121,33808.88,22328.08647,33263.605,33192.65777
25085,25186.55334,27105,25198.47,22414.20885,25490.883,25205.61915
35117,31658.77696,32118,31928.18,22155.71728,32053.48,32477.45879
46127,42992.86921,47151,44873.26,22914.42277,45175.77,44253.65995
27060,29656.43163,28076,27747.82,22540.88952,27781.793,29002.22195
9141,8858.00858,9123,9263.39,21609.41952,9221.705,9571.057167
21087,21119.64051,21113,21143.18,22164.90884,21205.701,21039.6636
30148,31536.38715,29113,29831.12,22379.13421,30051.453,30866.49046
22150,22024.06265,21060,20882.87,22059.92397,20960.79,20346.76907
29098,32051.84534,32139,29472.32,22374.24437,29617.97,30621.04592
30091,30934.85184,31083,31196.68,22188.45401,31045.621,30094.49745
21088,22274.07421,22147,21532.61,22159.57832,21274.68,21156.52467
48065,46796.83454,48075,48650.42,22877.54439,47993.492,47611.83841
23119,25569.84114,25112,24159.27,22317.27342,24195.492,24361.39164
23127,23178.72908,23135,24003.35,22187.04587,23862.252,22719.92912
4082,5624.218118,5068,4838.83,21184.90187,4687.316,4589.555447
3108,347.3455422,3144,3967.5,21059.04067,4096.897,5038.256707
7123,7117.475809,7092,6875.72,21534.31665,6692.0337,6742.434906
31079,31450.52997,31151,31978.57,22714.17427,31741.31,31979.52388
19114,18668.99248,19144,18805.7,21967.5274,18955.715,19356.42483
27125,29011.61694,29105,28340.07,22040.84623,27561.002,27569.17598
7129,1802.010089,3107,6079.05,21821.35852,5781.3823,4841.029022
30080,31409.17482,31103,30282.96,22652.97579,29517.668,30530.75628
30132,28103.5969,28110,28626.7,22092.24247,28686.719,28407.35247
7102,8024.49099,8144,7465.08,21526.09864,6760.9326,6770.953865
20060,18711.26755,20122,20159.46,22208.15762,19752.207,18819.8541
8137,9026.908643,8139,8026.92,21492.55071,8007.838,8862.585162
7057,7029.202407,7055,7152.37,21435.88374,6905.424,6717.659535
7125,6880.131885,7059,7455.25,21895.96417,7730.452,8446.04106
31072,28596.2178,29061,30381.17,22520.83088,29938.656,29626.94892
11068,11952.89237,11130,11007.67,21972.06137,11018.498,10625.11375
21082,21721.71438,20090,20846.04,22145.31021,20636.201,21103.05238
11055,11772.08415,10121,10840.43,21815.36466,11017.2295,10630.69602
29107,31000.12595,28065,28356.93,22297.32299,28512.22,29786.6615
45109,44261.57773,45144,45900.16,22920.2047,45549.5,44382.32099
15081,14706.3237,14110,14531.55,21814.63009,14568.803,14708.70011
7112,7546.635677,8104,7103.59,21720.51355,6968.8164,6844.410469
29069,29307.24852,26133,27609.3,22380.03334,27903.615,27905.34416
6133,5654.373916,6071,5460.09,21707.71291,5273.299,6087.065214
34104,31459.04446,31139,32064.12,22241.70975,32115.924,32056.60431
30130,28994.56535,30058,28957.99,22191.22887,28355.969,29122.90405
23104,23801.82021,23089,23479.11,22176.68043,23491.44,23559.58992
46099,46666.27629,45126,46229.03,22783.44697,45990.273,47467.56377
13071,13267.0664,12142,11991.92,21723.95213,12232.11,12233.77703
30074,29575.30152,30596.5,31063.35833,22488.30173,30768.225,31113.78369
12137,12233.24241,12071,12109.88,21522.808,12307.837,10993.79816
5059,6707.502837,6092,5736.04,21420.60746,5780.867,8441.906479
9110,9165.766075,10091,9480.93,21404.82987,9079.799,8976.0157
16101,17977.64288,16105,16452.77,21793.82452,16546.148,16463.70606
15135,16413.12635,15103,15187.27,21672.2652,15243.989,15290.08826
23105,23584.23909,22062,22329.56,22343.18669,22775.893,22969.0349
25088,25347.72102,27089,26450.6,22392.49276,26048.133,25582.14178
18103,16492.08387,17085,17369.33,22068.85393,17198.355,16953.58864
30087,29935.2735,30108,31185.28,22186.34859,31588.062,30784.1186
21134,22981.04078,21062,21596.64,22048.91225,21184.951,21680.33662
16074,17902.77473,16116,16537.96,21647.17327,16644.627,16484.66269
32060,30444.87044,33099,31711.63,22462.31359,30720.371,30570.69775
11106,11244.34268,11096,11048.35,21647.99933,10385.7705,11128.37504
28075,27135.05996,29055,28619.74,22402.01726,28664.646,27836.01834
25114,24129.51437,25059,25240.53,21957.89642,25617.926,25228.71603
16140,16737.33983,17151,16151.59,22073.77159,16306.347,17278.78427
17067,18523.27347,17093,17666.34,22091.35185,17633.92,17680.96583
30144,29795.75932,31105,30520.47,22224.83759,30653.918,29460.19038
26133,26126.27017,24138,26086.6,22421.63806,25778.549,25234.30758
37072,36457.96461,38128,37428.9925,22629.25026,36625.273,36820.03288
17120,15784.03582,17089,16795.25,21926.73607,16982.293,17919.58243
22146,23312.86633,23079,21942.82,22081.83398,21433.316,21775.87487
16116,16520.09947,15128,16694.68,21926.49537,16554.592,15387.13094
12097,12085.60103,12118,12725.73,21864.40933,13044.839,13335.52475
11072,12521.43423,10145,10761.41,21615.92954,10987.486,11048.08865
21136,23295.75074,20141,21858.97,22132.54702,21552.467,21578.34718
38143,40547.86226,38055,38257.33,22717.5583,38251.992,39752.39366
9088,9197.409057,8081,8103.13,21321.40752,8353.222,8055.210544
28058,25903.0441,25126,25922.2,22186.18011,25608.266,25610.6886
23133,23713.18022,24130,23980.66,22111.24956,23762.979,24524.7989
26112,26736.55276,24102,24514.12,22056.38748,24278.895,24462.53438
21081,20993.77609,20124,19983.96,22070.44382,20083.174,19683.32296
12107,11555.88326,13087,12224.58,21689.86483,12106.518,11663.85542
6087,6999.348373,6098,6654.16,21784.57605,6477.7466,7306.081985
21107,22689.77616,22143,21536.56,22152.96292,21293.127,20870.57089
26085,25515.70402,26070,26406.84,22282.25976,26244.287,26451.72149
46088,43521.13864,46144,45701.97,22193.07735,45205.152,44181.70177
21141,20264.33694,21064,21109.21,21872.06768,21008.941,20822.35727
28136,29886.03937,28100,27599.56,22265.86693,28085.244,28928.67144
31106,29479.1745,31148,30802.88,22382.06857,30198.979,29369.54687
31096,31959.18101,31093,31716.89,22397.80379,31667.703,31828.51385
19102,18615.14366,19095,19036.42,22117.04111,18519.781,19369.67165
31106,29211.47143,29056,29928.83,22549.42924,30240.996,30403.01304
10081,8952.936975,9105,8968.74,21864.55076,9090.407,9494.328579
19092,18455.49497,19085,18789.05,22102.02785,18891.521,18507.78924
25126,24056.26982,25151,25496.02,22024.95614,25435.723,24168.567
21096,23041.81789,21081,21221.87,22073.53184,21396.002,21467.64845
19073,20296.89612,20138,19810.3,22040.57369,19538.805,19083.19842
18092,18675.30621,18121,17879.83,21975.24855,18490.02,18614.60422
30072,31475.49259,34149,32134.08,22646.97811,31942.611,32097.99084
29134,29116.84592,27147,27516.3,22410.49495,27787.877,27790.4925
32146,32341.88494,32138,32682.91,22581.58275,32207.434,32648.10095
39123,35872.5085,39097,38996.48,22728.17656,39172.816,37624.73312
20122,18782.85446,19111,18976.63,21951.32826,18707.035,18401.43156
31096,30362.17564,31059,31426.13,22698.41727,30827.803,30407.97534
13085,14569.37352,14064,13955.34,21938.35768,13878.064,13297.56952
33064,32020.77685,33080,32640,22534.87168,32282.19,32296.61314
25101,24853.5959,23118,23812.42,22443.5853,24073.277,24043.94807
31118,32480.51966,31064,31705.33,22353.50943,32306.305,33013.68468
40064,38580.38836,41080,41251.92,22619.15636,41251.758,39851.10236
5086,6060.790326,5148,5417.27,21316.18917,5384.23,5936.152349
31072,32256.69353,31101,31674.73,22171.73159,31781.047,31921.00976
30064,30585.20983,33084,32568.83,22230.1418,31471.854,31269.02562
22094,22194.71556,24068,22335.78,22159.40833,22210.49,22866.82045
13104,14575.54907,13121,13529.97,21740.6373,13982.024,13453.1802
5085,5484.813883,5131,4629.58,21587.06004,5275.499,5065.69104
4065,5540.534861,5145,4803.28,21901.40223,6066.704,5173.973013
30059,29290.75098,29125,30205.33,22210.48604,30209.291,29856.82726
47083,45638.65555,49097,48659.47,22862.9471,48154.76,46597.26539
16061,17580.83388,16126,16731.16,22008.90969,16764.494,16617.34707
30138,31505.10751,29074,29400.33,22379.61454,29239.89,30185.19871
30113,30776.05382,31111,31036.73,22504.94355,30893.35,30963.93636
6075,7518.59405,7142,6944.43,21806.76236,6704.167,7735.570894
24110,25715.69536,25061,24656.11,22354.70458,24621.107,24742.33126
6114,6541.025844,5098,5816.08,21608.94541,6141.706,5929.644706
13083,11798.03131,13106,12632.69,21956.29544,12445.745,12659.33632
25105,24959.37555,23137,24226.43,22243.26582,24334.691,24167.12202
10093,10953.1957,11126,10698.35,21592.51043,10579.566,9997.31063
13097,13845.1203,13061,12845.46,21521.47483,12788.033,12859.6457
24123,23110.79864,25113,23804.68,22371.41991,23847.77,23809.8034
25094,26813.08581,26079,25633.95,22226.81409,25660.475,25321.4043
14121,14294.07466,14085,14011.74,21702.67458,13831.741,13360.91594
22058,20438.37398,21102,21342.7,22186.06453,21751.482,21950.81365
18072,17787.04058,16148,16742.36,21821.01743,17469.5,17575.09744
13093,13151.68502,13065,13325.39,21541.68188,13125.604,12274.70757
41057,37402.69288,39124,39874.9,22657.79311,39649.816,39004.38517
31148,30272.71578,31139,31676.62,22089.48113,32132.838,31054.05267
24118,21448.26269,23074,21882.48,22268.59049,22196.047,21430.98769
14130,1220.597308,11070,8433.11,21013.68411,7156.869,4384.694243
22082,23330.02031,25100,23770.43,21974.87043,23752.686,23288.23788
6136,7856.418371,6129,6148.73,21409.30805,6102.7583,6348.369142
23127,24586.16271,23146,22692.48,22197.1787,22981.396,23559.19719
12126,12344.54131,12073,12664.16,21825.83102,12745.077,12876.88427
17136,17439.41817,17142,17711.59,22147.2218,17997.104,17292.20965
36067,35900.83883,37111,37687.64,22508.39483,37288.215,37100.7926
31130,31285.06068,32118,31903.325,22084.49706,31713.252,31425.4746
16106,18138.07159,15131,15844.75,21820.70281,16501.404,16353.62774
30075,28857.03909,31112,29997.29,22351.55582,30149.266,29625.57517
25058,28289.16497,27071,26962.5,22201.39861,26779.375,26863.45896
17061,17171.9985,16134,16501.23,21952.47301,17068.434,16732.23141
31111,30566.18309,31082,31153.8025,22300.78234,31390.518,31044.3522
